GitHub_Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture
BindsNET/bindsnet,Y,659,1317,8976,The source code of the project exists as ad-hoc scripts.
bitextor/bitextor,Y,140,2578,3705,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy
BloodAxe/pytorch-toolbelt,Y,753,467,9912,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
brainiak/brainiak,Y,192,376,19127,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
bricewalker/Hey-Jetson,Y,137,307,3314,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
BrikerMan/Kashgari,Y,1697,838,4420,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
broadinstitute/keras-rcnn,Y,501,838,4683,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
bulletphysics/bullet3,Y,6503,8560,84536,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
bureaucratic-labs/dostoevsky,Y,132,173,316,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
Cadene/bootstrap.pytorch,Y,168,231,2866,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
Calamari-OCR/calamari,Y,621,252,9032,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
calico/basenji,Y,106,1447,25201,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
catalyst-team/catalyst,Y,1963,1238,31479,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cgre-aachen/gempy,Y,280,1815,23992,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
chuyangliu/snake,Y,1151,230,2371,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
Ciphey/Ciphey,Y,111,774,4542,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cisco/mindmeld,Y,363,2773,22390,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
ClementPinard/SfmLearner-Pytorch,Y,607,113,2622,The source code of the project exists as ad-hoc scripts.
CLUEbenchmark/CLUE,Y,964,457,47555,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cmu-db/ottertune,Y,977,379,14175,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cmusatyalab/OpenTPOD,Y,100,219,1774,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
commaai/openpilot,Y,15419,1248,29861,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
ConvLab/ConvLab,Y,285,501,36878,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
CorentinJ/Real-Time-Voice-Cloning,Y,18087,253,5650,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cornellius-gp/gpytorch,Y,1983,2922,30013,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Y,178,952,12005,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cornell-zhang/heterocl,Y,113,326,30630,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cortexlabs/cortex,Y,5269,1376,11021,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
cpnota/autonomous-learning-library,Y,352,182,6898,The source code of the project exists as ad-hoc scripts.
creme-ml/creme,Y,818,1238,21295,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
CyberZHG/keras-bert,Y,1747,135,2374,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
danielegrattarola/spektral,Y,807,287,7627,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
databricks/spark-deep-learning,Y,1725,127,234,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
datamllab/rlcard,Y,652,618,13450,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
ddbourgin/numpy-ml,Y,8741,312,16012,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepchem/deepchem,Y,2180,4662,60118,The source code of the project exists as ad-hoc scripts.
deepfakes/faceswap,Y,31057,1112,31280,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepmedic/deepmedic,Y,704,500,5935,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepmind/dm-haiku,Y,618,309,15006,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepmind/open_spiel,Y,2217,1022,25600,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepmind/sonnet,Y,8391,814,13518,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepmipt/DeepPavlov,Y,4365,2531,34675,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deepset-ai/FARM,Y,797,405,16304,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
deezer/spleeter,Y,12388,257,2404,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
determined-ai/determined,Y,456,883,42387,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
DigitalSlideArchive/HistomicsTK,Y,142,2732,11165,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
DLR-RM/stable-baselines3,Y,438,410,9226,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
dmlc/dgl,Y,5053,1028,80605,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
DongjunLee/kino-bot,Y,102,537,7604,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
DSE-MSU/DeepRobust,Y,172,600,9940,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
EdinburghNLP/nematus,Y,679,885,7219,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
eleurent/rl-agents,Y,142,636,6024,The source code of the project exists as ad-hoc scripts.
