GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age
hamelsmu/code_search,N,416,162,18870,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/hamelsmu/code_search/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,There is no commit in the past month,There aren't any open issues,https://github.com/hamelsmu/code_search/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,5,1952
hastagAB/Awesome-Python-Scripts,N,185,220,5579,The source code of the project exists as ad-hoc scripts.,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,There is no evidence of any testing done on the project.,120,1815
hunkim/DeepLearningZeroToAll,N,3929,332,6870,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/hunkim/DeepLearningZeroToAll/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc. https://github.com/hunkim/DeepLearningZeroToAll/blob/master/CONTRIBUTING.md","There is a well maintained README, codes are well documented",Few commits in the last month: https://github.com/hunkim/DeepLearningZeroToAll/graphs/commit-activity,There aren't any open issues,There is no license,Only 1 test file,52,2404
jaakkopasanen/AutoEq,N,1688,419,5281,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jaakkopasanen/AutoEq/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/jaakkopasanen/AutoEq/blob/master/LICENSE,There is no evidence of any testing done on the project.,17,2027
JayYip/bert-multitask-learning,N,290,280,8627,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/JayYip/bert-multitask-learning/issues/44 and https://github.com/JayYip/bert-multitask-learning/issues/43",https://github.com/JayYip/bert-multitask-learning/blob/master/LICENSE is provided.,There are files related to testing but everywhere,7,1747
jessevig/bertviz,N,1807,195,7189,The source code of the project exists as ad-hoc scripts.,Multiple contributors: hhttps://github.com/jessevig/bertviz/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jessevig/bertviz/blob/master/LICENSE,Only 1 test file,5,1740
kubeflow/examples,N,804,425,14024,The source code of the project exists as ad-hoc scripts.,https://github.com/kubeflow/examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/examples/blob/master/object_detection/serving_script/standard_fields.py and https://github.com/kubeflow/examples/blob/master/code_search/src/code_search/nmslib/search_engine.py and https://github.com/kubeflow/examples/blob/master/mnist/model.py have appropriate docstrings",https://github.com/kubeflow/examples/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/examples/issues/806 and https://github.com/kubeflow/examples/issues/798",https://github.com/kubeflow/examples/blob/master/LICENSE,There are many files related to testing,90,2057
LPDI-EPFL/masif,N,125,432,9344,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/LPDI-EPFL/masif/graphs/contributors shows that there are multiple contributors but mainly 1 person,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/LPDI-EPFL/masif/issues/10 and https://github.com/LPDI-EPFL/masif/issues/7",https://github.com/LPDI-EPFL/masif/blob/master/LICENSE is provided.,There are files related to testing but everywhere,3,1650
lukas/ml-class,N,1532,612,10852,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lukas/ml-class/graphs/contributors shows that there are multiple contributors.,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lukas/ml-class/graphs/commit-activity shows there has been activities in the past without no activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/lukas/ml-class/issues/48 and https://github.com/lukas/ml-class/issues/40",No license,there is no evidence of any testing done on the project.,14,2942
maelfabien/Multimodal-Emotion-Recognition,N,210,355,11517,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lululxvi/deepxde/graphs/contributors shows that there are only 3 contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/maelfabien/Multimodal-Emotion-Recognition/blob/master/04-WebApp/library/text_emotion_recognition.py and https://github.com/maelfabien/Multimodal-Emotion-Recognition/blob/master/04-WebApp/library/text_preprocessor.py have appropriate docstrings",https://github.com/maelfabien/Multimodal-Emotion-Recognition/graphs/commit-activity shows very few activities in the past,The author of the project does not reply to issues or close them.,https://github.com/maelfabien/Multimodal-Emotion-Recognition/blob/master/LICENSE,there is no evidence of any testing done on the project.,3,1659
